source_sectors,n
"International Government Organization,Executive,Regional Diplomatic IGOs,Finance / Economy / Commerce / Trade Ministry,Regional,Government",7
"International Government Organization,Executive,Regional Diplomatic IGOs,Foreign Ministry,Government,Regional",7
"International Government Organization,Foreign Ministry,Government,Regional Diplomatic IGOs,Cabinet,Executive,Regional",7
"International Government Organization,Foreign Ministry,Regional Defense / Security IGOs,Executive,Cabinet,Regional,Government",7
"International Government Organization,Global,Foreign Ministry,Executive,Global Economic/Financial/Trade IGOs,Government",7
"International Government Organization,Global,Global Defense / Security IGOs,Government,Elite",7
"International Government Organization,Global,Global Diplomatic IGOs,Elite,Global Energy IGOs",7
"International Government Organization,Global,Global Information / Communication / Transparency IGOs,Government,Elite,Global Diplomatic IGOs",7
"International Government Organization,Global,Government,Elite,Global Economic/Financial/Trade IGOs",7
"International Government Organization,Global,Government,Executive,Foreign Ministry,Global Diplomatic IGOs",7
"International Government Organization,Global,Military,Marines,Global Defense / Security IGOs,Government",7
"International Government Organization,Government,Executive,Regional Diplomatic IGOs,Regional,Foreign Ministry",7
"International Government Organization,Government,Regional,Judicial,Regional Diplomatic IGOs",7
"International Government Organization,Legislative / Parliamentary,Global Law / Justice / Judicial IGOs,Elite,Global,Government,Upper House",7
"International Government Organization,Military,Regional,Regional Diplomatic IGOs,Government",7
"International Government Organization,Muslim,Global,Global Diplomatic IGOs,International Religious",7
"International Government Organization,Regional Diplomatic IGOs,Executive,Government,Regional,Executive Office",7
"International Government Organization,Regional,Dissident,Protestors / Popular Opposition / Mobs,Regional Diplomatic IGOs",7
"International Government Organization,Regional,Elite,Government,Social,Executive,Regional Diplomatic IGOs,Education",7
"International Government Organization,Regional,Government,Foreign Ministry,Executive,Regional Defense / Security IGOs",7
"International Government Organization,Regional,Government,Regional Diplomatic IGOs,Legislative / Parliamentary",7
"International Insurgents,Ideological,International Dissident,Sunni,Fundamentalist,Dissident,International Religious,Insurgents,International Radicals / Extremists / Fundamentalists,Radicals / Extremists / Fundamentalists,Muslim",7
"International Religious,Catholic,Executive Office,Elite,Executive,Government",7
"International Religious,Catholic,Insurgents,Dissident,Center Left,Ideological",7
"International Religious,Dissident,Chechen,Separatists,Sufi,National Ethnic Minority,International Ethnic,National Ethnic,Social",7
"International Religious,Dissident,Separatists,Exiles,Sunni",7
"International Religious,Dissident,Shia,Insurgents",7
"International Religious,Elite,Executive Office,Maronite,Government,Executive",7
"International Religious,Elite,Government,Executive Office,Executive,Sunni",7
"International Religious,Elite,Government,Sunni,Executive,Executive Office",7
"International Religious,Ethnic NGOs,Nongovernmental Organizations / Activists,Jewish",7
"International Religious,Executive Office,Elite,Maronite,Government,Executive",7
"International Religious,Executive,Foreign Ministry,Catholic,Government,Finance / Economy / Commerce / Trade Ministry",7
"International Religious,Executive,Government,Sunni,Executive Office,Elite",7
"International Religious,Exiles,Sunni,Dissident,Separatists",7
"International Religious,Foreign Ministry,Executive,Government,Shia",7
"International Religious,Fundamentalist,Elite,Ideological,Executive,Sunni,Government,Executive Office",7
"International Religious,Fundamentalist,Ideological,Executive Office,Executive,Government,Sunni,Elite",7
"International Religious,Fundamentalist,Ideological,Insurgents,Dissident,Sunni,Elite",7
"International Religious,Government,Sunni,Executive,Executive Office,Elite",7
"International Religious,Hindu,Protestors / Popular Opposition / Mobs,Dissident",7
"International Religious,International Ethnic,Dissident,National Ethnic,Separatists,Chechen,Sufi,Social,National Ethnic Minority",7
"International Religious,Legislative / Parliamentary,Lower House,Social,Muslim,Government,Provincial,Local,National Ethnic Minority,National Ethnic",7
"International Religious,Lower House,Legislative / Parliamentary,Executive,Orthodox,Government,Foreign Ministry",7
"International Religious,Military,Government,Maronite,Executive,Executive Office",7
"International Religious,Municipal,Executive Office,Executive,Government,Local,Unicameral,Legislative / Parliamentary,Sunni,Elite",7
"International Religious,Municipal,Local,Government,Muslim,Provincial",7
"International Religious,Muslim,Chechen,Dissident,Separatists,International Ethnic",7
"International Religious,Muslim,Dissident,Separatists,Sunni",7
"International Religious,Muslim,Global Diplomatic IGOs,International Government Organization,Global",7
"International Religious,Muslim,International Government Organization,Global,Global Diplomatic IGOs",7
"International Religious,Muslim,Local,Provincial,Municipal,Government",7
"International Religious,Nationalist,Far Right,Radicals / Extremists / Fundamentalists,Hindu,Ideological,Dissident",7
"International Religious,Provincial,Municipal,Local,Government,Muslim",7
"International Religious,Separatists,Christian,Dissident",7
"International Religious,Shia,Executive Office,Government,Executive",7
"International Religious,Shinto,Elite,Executive,Executive Office,Government",7
"International Religious,Social,Protestant,National Religious",7
"International Religious,Sunni,Elite,Executive,Government,Executive Office",7
"International Religious,Sunni,Foreign Ministry,Executive Office,Elite,Government,Executive",7
"Jews,Government,International Ethnic,Unicameral,Legislative / Parliamentary",7
"Jews,International Ethnic,Elite",7
"Judicial,Muslim,Government,International Religious,Religious Court",7
"Judicial,National / Supreme Court,Government,Municipal,Local",7
"Judicial,Religious Court,Government",7
"Justice / Law Ministry,Drugs Ministry,Executive,Government",7
"Justice / Law Ministry,Executive,Finance / Economy / Commerce / Trade Ministry,Government,Elite",7
"Justice / Law Ministry,Executive,Government,Elite,Legislative / Parliamentary,Foreign Ministry",7
"Labor Ministry,Cabinet,Executive,Government",7
"Labor Ministry,Executive,Cabinet,Government",7
"Legal,Elections Ministry,Human Rights NGOs,Social,Government,Executive,Nongovernmental Organizations / Activists",7
"Legislative / Parliamentary,Elite,Women / Children / Social / Welfare / Development / Religion Ministry,Government,Lower House,Cabinet,Executive",7
"Legislative / Parliamentary,Executive Office,Lower House,Government,Elite,Executive",7
"Legislative / Parliamentary,Executive,Elite,Government,Foreign Ministry",7
"Legislative / Parliamentary,Executive,Government,Unicameral,Defense / Security Ministry",7
"Legislative / Parliamentary,Foreign Ministry,Elite,Government,Cabinet,Unicameral,Executive",7
"Legislative / Parliamentary,Local,Municipal,Unicameral,Sunni,Executive,Government,Executive Office,Elite,International Religious",7
"Legislative / Parliamentary,Lower House,Orthodox,Foreign Ministry,International Religious,Government,Executive",7
"Legislative / Parliamentary,Lower House,Provincial,Local,Government",7
"Legislative / Parliamentary,Lower House,Regional Diplomatic IGOs,Government,Elite,International Government Organization,Municipal,Local,Executive,Executive Office,Ideological,Center Right,Regional",7
"Legislative / Parliamentary,Nongovernmental Organizations / Activists,Elite,Government,Executive,Human Rights NGOs,Cabinet,Executive Office,Lower House",7
"Legislative / Parliamentary,Regional Diplomatic IGOs,International Government Organization,Regional,Government",7
"Legislative / Parliamentary,Regional,International Government Organization,Government,Regional Diplomatic IGOs",7
"Local,Army,Government,Military",7
"Local,International Religious,Provincial,Buddhist,Government",7
"Local,Municipal,International Government Organization,Regional Diplomatic IGOs,Government,Regional",7
"Local,Provincial,International Religious,Buddhist,Government",7
"Lower House,Defense / Security Ministry,Legislative / Parliamentary,Government,Executive",7
"Lower House,Executive Office,Legislative / Parliamentary,Government,Executive",7
"Lower House,Executive,Government,Cabinet,Industrial / Textiles / Mining Ministry,Legislative / Parliamentary,Finance / Economy / Commerce / Trade Ministry",7
"Lower House,Foreign Ministry,Legislative / Parliamentary,Government,Executive,Executive Office,Elite",7
"Lower House,Legislative / Parliamentary,Defense / Security Ministry,Elite,Executive,Government",7
"Lower House,Legislative / Parliamentary,Defense / Security Ministry,Executive,Government",7
"Lower House,Legislative / Parliamentary,Executive Office,Government,Elite,Executive",7
"Lower House,Legislative / Parliamentary,Government,Cabinet,Executive,Finance / Economy / Commerce / Trade Ministry",7
"Lower House,Legislative / Parliamentary,Government,Foreign Ministry,Executive",7
"Lower House,Legislative / Parliamentary,Regional,Regional Diplomatic IGOs,International Government Organization,Elite,Government",7
"Lower House,Orthodox,Legislative / Parliamentary,Government,International Religious",7
"Management / Budget / Planning / Organization Ministry,Executive,Cabinet,Government",7
"Management / Budget / Planning / Organization Ministry,Executive,Government,Cabinet,Center Right,Ideological",7
"Management / Budget / Planning / Organization Ministry,Government,Executive,Finance / Economy / Commerce / Trade Ministry",7
"Management / Budget / Planning / Organization Ministry,Local,Government,Cabinet,Executive,Provincial",7
"Maronite,Government,Executive Office,Elite,Executive,International Religious",7
"Maronite,Government,Executive,International Religious,Executive Office,Elite",7
"Media,Entertainment,Print Entertainment,Social",7
"Media,Executive,Government,Radio News,News,State Media,Information / Communication / Transparency Ministry,Social",7
"Media,Executive,Social,Government,Executive Office",7
"Media,Government,Executive,Social,Information / Communication / Transparency Ministry",7
"Media,News,Online News,Social",7
"Media,Print News,News,Social,Far Left,Ideological",7
"Media,Print News,News,Social,Online News",7
"Media,State Media,Information / Communication / Transparency Ministry,Social,Television News,News,Executive,Government",7
"Media,Television Entertainment,Entertainment,Social",7
"Media,Television Entertainment,Social,Entertainment",7
"Military,Army,Government,Army Special Forces",7
"Military,Education,Government,Social",7
"Military,Elite,Executive,Government,Defense / Security Ministry",7
"Military,Executive Office,Government,Executive,International Religious,Maronite",7
"Military,Executive,Defense / Security Ministry,Army,Government",7
"Military,Government,Army Special Forces,Army,Military Intelligence",7
"Military,Government,Army,Army Headquarters",7
"Military,Government,International Government Organization,Regional Diplomatic IGOs,Regional",7
"Military,Government,Military Intelligence,Army,Army Special Forces",7
"Military,Ideological,Government,Tajik,Nationalist,International Ethnic",7
"Military,Maronite,Executive,Executive Office,Government,International Religious",7
"Military,Military Intelligence,Government,Cabinet,Executive,Army,Army Special Forces,Interior / Home Ministry",7
"Multinational Corporation,Consumer Goods MNCs",7
"Multinational Corporation,Heavy Industrial / Chemical MNCs",7
"Municipal,Elite,Local,Government",7
"Municipal,Government,Elite,Local",7
"Municipal,Government,Local,Elite",7
"Muslim,Dissident,International Religious,International Ethnic,Separatists",7
"Muslim,Elite,Executive Office,Government,International Religious,Executive",7
"Muslim,Government,Elite,Executive Office,International Religious,Executive",7
"Muslim,International Ethnic,International Religious,Separatists,Social,National Ethnic Minority,Chechen,National Ethnic,Dissident",7
"Muslim,International Government Organization,International Religious,Global,Global Diplomatic IGOs",7
"Muslim,International Religious,Insurgents,Dissident,International Dissident,Sunni,International Insurgents",7
"Muslim,International Religious,International Dissident,International Insurgents,Sunni,Dissident,Insurgents",7
"Muslim,National Ethnic Minority,International Ethnic,International Religious,Social,Separatists,Dissident,National Ethnic,Chechen",7
"Muslim,National Ethnic,Government,Social,National Ethnic Minority,Provincial,Local,Legislative / Parliamentary,International Religious,Lower House",7
"Muslim,Sunni,Dissident,International Religious,Separatists",7
"National / Border Divisions,Executive,Police,Defense / Security Ministry,Government",7
"National / Border Divisions,Police,Legislative / Parliamentary,Government",7
"National Ethnic Minority,Disaster Ministry,National Ethnic,Cabinet,Executive,Government,Social",7
"National Ethnic Minority,Government,Local,Provincial,Elite,Social,National Ethnic,Business",7
"National Ethnic Minority,International Religious,International Ethnic,Social,National Ethnic,Chechen,Muslim,Separatists,Dissident",7
"National Ethnic Minority,National Ethnic,Defense / Security Ministry,Social,Executive,Government",7
"National Ethnic Minority,National Ethnic,International Ethnic,Social,Kurd (Ethnic Group)",7
"National Ethnic Minority,Provincial,National Ethnic,International Religious,Local,Muslim,Legislative / Parliamentary,Lower House,Social,Government",7
"National Ethnic Minority,Social,National Ethnic Majority,National Ethnic",7
"National Ethnic Minority,South American Indigenous,International Ethnic,Social,National Ethnic",7
"National Ethnic,Bantu, Gikuyu-Kamba,International Ethnic,Social,Bantu",7
"National Ethnic,Disaster Ministry,National Ethnic Minority,Social,Executive,Cabinet,Government",7
"National Ethnic,Elite,International Religious,National Ethnic Minority,Shia,Executive,Government,Religious Minority,National Religious,Executive Office,Social",7
"National Ethnic,Government,Social,Executive,Defense / Security Ministry,National Ethnic Minority",7
"National Ethnic,International Ethnic,Dissident,Afro-American,Mande,Social,Criminals / Gangs,Elite",7
"National Ethnic,International Ethnic,Pashtun,Social",7
"National Ethnic,International Ethnic,Provincial,Government,Muslim,Social,Local,National Ethnic Minority,International Religious,Chechen",7
"National Ethnic,Muslim,International Ethnic,Provincial,Local,International Religious,Chechen,Social,Government,National Ethnic Minority",7
"National Ethnic,National Ethnic Minority,National Religious,Government,Executive,Shia,Executive Office,Social,Elite,International Religious,Religious Minority",7
"National Ethnic,National Ethnic Minority,Social,Provincial,Local,Government",7
"National Ethnic,Shia,Government,Executive,Executive Office,International Religious,Elite,Religious Minority,National Religious,National Ethnic Minority,Social",7
"National Ethnic,Social,International Ethnic,Uyghur",7
"National Religious,International Religious,Social,Catholic,Religious Majority",7
"National Religious,National Ethnic Minority,Elite,International Religious,National Ethnic,Shia,Executive,Social,Government,Executive Office,Religious Minority",7
"National Religious,Shia,International Religious,Social,Far Left,Ideological,Dissident,Organized Violent",7
"Nationalist,Government,Executive Office,Elite,Ideological,Executive",7
"Nationalist,Government,Ideological,Elite,Executive,Executive Office",7
"Nationalist,Ideological,Tajik,International Ethnic,Insurgents,Dissident,Elite",7
"Nationalist,International Ethnic,Ideological,Tajik,Unidentified Forces",7
"Nationalist,Protestors / Popular Opposition / Mobs,Ideological,Dissident",7
"Nationalist,Tajik,International Ethnic,Elite,Insurgents,Dissident,Ideological",7
"Navy Special Forces,Military,Navy,Government",7
"Navy,Military,Air Force,Government,Army,National / Border Divisions,Police",7
"News,Media,Print News,Far Left,Ideological,Social",7
"News,Media,Print News,Social,Online News",7
"Nongovernmental Organization (International),Christian,Nongovernmental Organizations / Activists,Elite,Development IGOs,International Religious,Human Rights NGOs",7
"Nongovernmental Organization (International),NGO Ministry,Executive,Human Rights IGOs,Government",7
"Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Elite,Development IGOs,Human Rights NGOs,International Religious,Christian",7
"Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Human Rights NGOs,Elite,Christian,Development IGOs,International Religious",7
"Nongovernmental Organizations / Activists,Dissident,Media,Protestors / Popular Opposition / Mobs,Entertainment,Social,Human Rights NGOs",7
"Nongovernmental Organizations / Activists,Ethnic NGOs,North American Indigenous,International Ethnic",7
"Nongovernmental Organizations / Activists,Executive Office,Business,Government,Elite,Executive,Social,Consulting / Financial Services Business,Business NGOs",7
"Nongovernmental Organizations / Activists,Executive Office,Business,Government,Social,Executive,Business NGOs,Consulting / Financial Services Business,Elite",7
"Nongovernmental Organizations / Activists,Executive Office,Government,Lower House,Legislative / Parliamentary,Elite,Human Rights NGOs,Cabinet,Executive",7
"Nongovernmental Organizations / Activists,Fulani / Fulbe,Hausa,International Ethnic",7
"Nongovernmental Organizations / Activists,Government,Business,Executive Office,Social,Executive,Consulting / Financial Services Business,Business NGOs,Elite",7
"Nongovernmental Organizations / Activists,Government,Executive Office,Executive,Charity NGOs",7
"Nongovernmental Organizations / Activists,Hausa,International Ethnic,Fulani / Fulbe",7
"Nongovernmental Organizations / Activists,Human Rights NGOs,Government,Executive Office,Executive,Cabinet,Legislative / Parliamentary,Elite,Lower House",7
"Online News,Media,Print News,News,Social",7
"Organized Violent,Dissident,International Religious,Shia,Social,Ideological,Far Left,National Religious",7
"Oromo,Dissident,Separatists,International Ethnic",7
"Orthodox,Elite,Interior / Home Ministry,Government,Defense / Security Ministry,Executive,International Religious,Executive Office",7
"Orthodox,Executive Office,Elite,Government,International Religious,Executive",7
"Orthodox,Executive,International Religious,Government,Executive Office,Elite",7
"Orthodox,Government,International Religious,Local,Municipal",7
"Orthodox,Interior / Home Ministry,Elite,Government,International Religious,Executive",7
"Orthodox,International Religious,Executive,Government,Foreign Ministry,Legislative / Parliamentary,Lower House",7
"Orthodox,Legislative / Parliamentary,International Religious,Foreign Ministry,Government,Executive,Lower House",7
"Pashtun,Finance / Economy / Commerce / Trade Ministry,International Ethnic,Cabinet,Executive,Government",7
"Pashtun,International Ethnic,Finance / Economy / Commerce / Trade Ministry,Cabinet,Executive,Government",7
"Pashtun,Social,National Ethnic,International Ethnic",7
"Print Entertainment,Social,Entertainment,Media",7
"Protestant,Social,International Religious,National Religious",7
"Protestors / Popular Opposition / Mobs,Dissident,Insurgents,Elite",7
"Protestors / Popular Opposition / Mobs,Elite,Dissident,Separatists",7
"Protestors / Popular Opposition / Mobs,Hindu,International Religious,Dissident",7
"Protestors / Popular Opposition / Mobs,International Government Organization,Regional Diplomatic IGOs,Dissident,Regional",7
"Provincial,Government,Local,Legislative / Parliamentary",7
"Provincial,Government,Local,Muslim,Lower House,National Ethnic,Legislative / Parliamentary,International Religious,Social,National Ethnic Minority",7
"Radicals / Extremists / Fundamentalists,Dissident,Far Left,Ideological,Communist",7
"Radicals / Extremists / Fundamentalists,International Religious,Dissident,Sikh",7
"Rebel,Dissident,Separatists",7
"Refugees / Displaced NGOs,Nongovernmental Organizations / Activists",7
"Regional Defense / Security IGOs,Government,International Government Organization,Foreign Ministry,Regional,Executive",7
"Regional Diplomatic IGOs,Business,International Government Organization,Regional,Social",7
"Regional Diplomatic IGOs,Elite,Regional,Government,International Government Organization",7
"Regional Diplomatic IGOs,Elite,Regional,International Government Organization,Government",7
"Regional Diplomatic IGOs,Executive,Cabinet,International Government Organization,Government,Regional,Foreign Ministry,Elite",7
"Regional Diplomatic IGOs,International Government Organization,Executive,Regional,Government,Foreign Ministry",7
"Regional Diplomatic IGOs,International Government Organization,Government,Legislative / Parliamentary,Regional",7
"Regional Diplomatic IGOs,International Government Organization,Human Rights NGOs,Human Rights IGOs,Regional,Nongovernmental Organizations / Activists,Nongovernmental Organization (International)",7
"Regional Diplomatic IGOs,International Government Organization,Regional,Defense / Security Ministry,Executive,Government",7
"Regional Diplomatic IGOs,International Government Organization,Upper House,Government,Ideological,Center Right,Executive,Cabinet,Regional,Legislative / Parliamentary,Foreign Ministry",7
"Regional Diplomatic IGOs,Regional,International Government Organization,Government,Police",7
"Regional Diplomatic IGOs,Unidentified Forces,International Government Organization,Regional",7
"Regional,Business,Regional Diplomatic IGOs,International Government Organization,Social",7
"Regional,Criminals / Gangs,Regional Diplomatic IGOs,International Government Organization,Dissident",7
"Regional,Dissident,Protestors / Popular Opposition / Mobs,International Government Organization,Regional Diplomatic IGOs",7
"Regional,Executive Office,Government,Executive,International Government Organization,Regional Diplomatic IGOs",7
"Regional,Finance / Economy / Commerce / Trade Ministry,International Government Organization,Government,Executive,Regional Diplomatic IGOs",7
"Regional,Government,Executive,Elite,Regional Diplomatic IGOs,International Government Organization,Foreign Ministry",7
"Regional,Government,International Government Organization,Regional Diplomatic IGOs,Police",7
"Regional,International Government Organization,Foreign Ministry,Executive,Government,Regional Diplomatic IGOs",7
"Regional,International Government Organization,Government,Executive,Regional Diplomatic IGOs,Lower House,Elite,Legislative / Parliamentary,Finance / Economy / Commerce / Trade Ministry",7
"Regional,International Government Organization,Municipal,Local,Regional Diplomatic IGOs,Government",7
"Regional,International Government Organization,Regional Diplomatic IGOs,Elite,Executive Office,Government,Executive",7
"Regional,International Government Organization,Regional Diplomatic IGOs,Executive,Elite,Government,Interior / Home Ministry",7
"Regional,Media,International Government Organization,Regional Diplomatic IGOs,Social",7
"Regional,Rebel,International Government Organization,Dissident,Regional Diplomatic IGOs",7
"Regional,Regional Diplomatic IGOs,Executive,International Government Organization,Government,Elite,Finance / Economy / Commerce / Trade Ministry",7
"Regional,Regional Diplomatic IGOs,International Government Organization,Elite,Government",7
"Regional,Social,General Population / Civilian / Social,Regional Diplomatic IGOs,International Government Organization",7
"Religious Majority,National Religious,International Religious,Elite,Social,Protestant",7
"Research And Design Wings,Government,Military",7
"Separatists,Dissident,Ideological,Communist",7
"Separatists,Dissident,International Dissident,International Terrorists",7
"Separatists,Dissident,International Ethnic,Garo-Tripuri",7
"Separatists,International Religious,Dissident,Christian",7
"Separatists,Rebel,Dissident",7
"Separatists,Social,Tamil,International Ethnic,Media,Dissident",7
"Shia,Far Left,National Religious,Organized Violent,Social,Radio News,Media,News,Dissident,Ideological,International Religious",7
"Shia,Government,Executive,Executive Office,International Religious",7
"Shia,Government,Foreign Ministry,Executive,International Religious",7
"Shia,Insurgents,International Religious,Dissident",7
"Shinto,International Religious,Elite,Government,Executive,Executive Office",7
"Sikh,International Religious,Radicals / Extremists / Fundamentalists,Dissident",7
"Sikh,Social,International Religious,National Religious",7
"Social,Bantu, Gikuyu-Kamba,Executive,International Ethnic,National Ethnic,Executive Office,Government,Elite,Bantu",7
"Social,Bantu,Bantu, Gikuyu-Kamba,International Ethnic,Government,Legislative / Parliamentary,Unicameral,National Ethnic",7
"Social,Center Right,Ideological,Print News,News,Media",7
"Social,Dissident,Agricultural,Protestors / Popular Opposition / Mobs",7
"Social,Elite,Business,Consulting / Financial Services Business,Nongovernmental Organizations / Activists,Business NGOs,Executive Office,Executive,Government",7
"Social,Elite,Business,Nongovernmental Organizations / Activists,Consulting / Financial Services Business,Business NGOs,Executive Office,Government,Executive",7
"Social,Elite,General Population / Civilian / Social",7
"Social,Elite,National Religious,Protestant,International Religious,Religious Majority",7
"Social,Entertainment,Print Entertainment,Media",7
"Social,Executive,Government,Cabinet,Disaster Ministry,National Ethnic Minority,National Ethnic",7
"Social,Far Left,Ideological,Print News,News,Media",7
"Social,Government,Executive,News,Media,State Media,Information / Communication / Transparency Ministry,Television News",7
"Social,Government,Media,Elite",7
"Social,Government,National Ethnic Minority,National Ethnic,Executive,Defense / Security Ministry",7
"Social,Human Rights NGOs,Legal,Nongovernmental Organizations / Activists",7
"Social,International Ethnic,National Ethnic Minority,South American Indigenous,National Ethnic",7
"Social,International Government Organization,Regional,Regional Diplomatic IGOs,Media",7
"Social,International Religious,Protestant,National Religious",7
"Social,Military,Government,Education",7
"Social,National Ethnic,International Ethnic,Kurd (Ethnic Group),National Ethnic Minority",7
"Social,National Ethnic,International Ethnic,Nilotic",7
"Social,News,Ideological,Print News,Media,Far Left",7
"Social,News,Print News,Media,Far Left,Ideological",7
"Social,News,State Media,Media,Information / Communication / Transparency Ministry,Executive,Government,Television News",7
"Social,Pashtun,National Ethnic,International Ethnic",7
"Social,Protestors / Popular Opposition / Mobs,Print News,Media,News,Dissident,Online News",7
"Social,Religious Minority,International Religious,Muslim,National Religious",7
"Social,Shia,National Religious,Organized Violent,Far Left,Dissident,Ideological,International Religious",7
"Social,Sufi,Dissident,International Religious,Chechen,Separatists,International Ethnic,National Ethnic,National Ethnic Minority",7
"South American Indigenous,Social,National Ethnic,National Ethnic Minority,International Ethnic",7
"State Owned Enterprises,Executive,Government,Finance / Economy / Commerce / Trade Ministry,State-Owned Consulting / Financial Services",7
"State Owned Enterprises,State-Owned Consulting / Financial Services,Government,Elite",7
"State Owned Enterprises,State-Owned Consumer Services,Government",7
"State Owned Enterprises,State-Owned Medical / Health / Pharmeceutical,Government",7
"State-Owned Consulting / Financial Services,Executive,Finance / Economy / Commerce / Trade Ministry,State Owned Enterprises,Government",7
"State-Owned Consulting / Financial Services,State Owned Enterprises,Government,Executive,Finance / Economy / Commerce / Trade Ministry",7
"State-Owned Defense / Security,Executive,Elite,Executive Office,State Owned Enterprises,Government",7
"State-Owned Heavy Industrial / Chemical,Executive Office,State Owned Enterprises,Government,Executive",7
"State-Owned Heavy Industrial / Chemical,State Owned Enterprises,Executive,Executive Office,Government",7
"Sufi,Social,National Ethnic,International Religious,National Ethnic Minority,Chechen,International Ethnic",7
"Sunni,Elite,International Religious,Executive Office,Government,Executive",7
"Sunni,Elite,International Religious,Rebel,Dissident",7
"Sunni,Executive,Executive Office,Elite,International Religious,Government",7
"Sunni,Executive,Executive Office,Government,Elite,International Religious",7
"Sunni,Government,Cabinet,International Religious,Executive,Foreign Ministry",7
"Sunni,Government,Local,Municipal,Executive Office,Executive,Unicameral,Legislative / Parliamentary,International Religious,Elite",7
"Sunni,Ideological,International Religious,Fundamentalist,Insurgents,Dissident,Elite",7
"Sunni,International Religious,Executive Office,Government,Elite,Executive",7
"Sunni,International Religious,Executive Office,Government,Executive,Elite",7
"Sunni,International Religious,Executive,Government,Executive Office",7
"Tajik,International Ethnic,Dissident,Elite,Ideological,Nationalist,Insurgents",7
"Television Entertainment,Social,Government,Executive,Executive Office,Entertainment,Media",7
"Unicameral,Executive,Justice / Law Ministry,Government,Legislative / Parliamentary",7
"Unicameral,Foreign Ministry,Elite,Legislative / Parliamentary,Government,Executive,Cabinet",7
"Unicameral,Government,Foreign Ministry,Executive,Legislative / Parliamentary",7
"Unicameral,Government,Legislative / Parliamentary,Cabinet,Executive,Health Ministry",7
"Unicameral,Legislative / Parliamentary,Cabinet,Executive,Government,Elite",7
"Unicameral,Legislative / Parliamentary,Elite,Government",7
"Unidentified Forces,Dissident,Insurgents,Muslim,International Religious",7
"Unidentified Forces,Ideological,Dissident,Far Right,Insurgents",7
"Unidentified Forces,International Government Organization,Regional,Regional Diplomatic IGOs",7
"Unidentified Forces,International Religious,Muslim,Insurgents,Dissident",7
"Unidentified Forces,Nationalist,Ideological,International Ethnic,Tajik",7
"Unidentified Forces,Nationalist,International Ethnic,Ideological,Tajik",7
"Upper House,Government,Elite,Legislative / Parliamentary",7
"Upper House,Government,Executive,Executive Office,Legislative / Parliamentary,Elite",7
"Upper House,Government,Executive,Foreign Ministry,Legislative / Parliamentary",7
"Upper House,Government,Executive,Legislative / Parliamentary,Executive Office",7
"Upper House,Government,Legislative / Parliamentary,Military",7
"Upper House,Legislative / Parliamentary,Executive,Elite,Government,Cabinet,Foreign Ministry",7
"Water Ministry,Executive,Disaster Ministry,Food Ministry,Government",7
"Women / Children / Social / Welfare / Development / Religion Ministry,Defense / Security Ministry,Executive,Government,Intelligence Ministry",7
"Women / Children / Social / Welfare / Development / Religion Ministry,Executive,Management / Budget / Planning / Organization Ministry,Government",7
"Women / Children / Social / Welfare / Development / Religion Ministry,Government,Defense / Security Ministry,Executive,Intelligence Ministry",7
"Yoruba,International Ethnic,Ethnic NGOs,Nongovernmental Organizations / Activists",7
"Agriculture / Fishing / Forestry Ministry,Environment Ministry,Government,Cabinet,Executive",6
"Air Force Headquarters,Government,Military,Air Force",6
"Arab,Arab, Yemeni,Social,National Ethnic,International Ethnic",6
"Army Headquarters,Government,Military,Army",6
"Army Special Forces,Army,Military,Military Intelligence,Government",6
"Army,Army Special Forces,Defense / Security Ministry,Government,Military Intelligence,Military,Executive,Cabinet",6
"Army,Army Special Forces,Military,Government,Military Intelligence",6
"Army,Government,Executive,Information / Communication / Transparency Ministry,Military",6
"Army,Government,Executive,Navy,Defense / Security Ministry,Air Force,Military",6
"Army,Government,Military,Executive,Information / Communication / Transparency Ministry",6
"Army,Government,Pashtun,International Ethnic,Military",6
"Army,Military,Executive,Government,Cabinet,Defense / Security Ministry",6
"Bantu, Gikuyu-Kamba,Social,Bantu,Executive,Government,Executive Office,International Ethnic,Elite,National Ethnic",6
"Bantu,Elite,Government,Bantu, Gikuyu-Kamba,Social,Executive Office,International Ethnic,Executive,National Ethnic",6
"Bantu,Elite,National Ethnic,Social,Bantu, Gikuyu-Kamba,International Ethnic,Executive Office,Executive,Government",6
"Bantu,Social,National Ethnic,Bantu, East-Coastal,International Ethnic",6
"Buddhist,Dissident,Separatists,International Religious",6
"Buddhist,Separatists,International Religious,Dissident",6
"Business NGOs,Defense / Security Ministry,Nongovernmental Organizations / Activists,Executive,Government",6
"Business,Consulting / Financial Services Business,Elite,Business NGOs,Nongovernmental Organizations / Activists,Social,Government,Executive Office,Executive",6
"Business,Elite,Social,Consulting / Financial Services Business",6
"Business,Government,Elite,Social,National Ethnic,Provincial,Local,National Ethnic Minority",6
"Business,Nongovernmental Organizations / Activists,Consulting / Financial Services Business,Business NGOs,Elite,Social",6
"Cabinet,Executive,Charity NGOs,Foreign Ministry,Nongovernmental Organizations / Activists,Government",6
"Cabinet,Executive,Defense / Security Ministry,Government,Pashtun,Elite,International Ethnic",6
"Cabinet,Executive,Legislative / Parliamentary,Lower House,Elite,Interior / Home Ministry,Government",6
"Cabinet,Executive,National Ethnic,Disaster Ministry,National Ethnic Minority,Government,Social",6
