crisno,sentence_number_int_aligned,sentence_number_int_aligned_groupmethod,sentence1,sentence2,sentence3,sentence4
196,3,,"Pre-crisisAfter the 1961 Bay of Pigs abortive invasion, Cuba became one of the central issues of U.S. foreign policy: the U.S. viewed Cuba as a potential source of communist-oriented subversive activities in Latin America.","Pre-crisisAfter the 1961 Bay of Pigs abortive invasion, Cuba became one of the central issues of U.S. foreign policy: the U.S. viewed Cuba as a potential source of communist-oriented subversive activities in Latin America.","After the 1961 Bay of Pigs abortive invasion (see <a href=""javascript:select_crisis(181)"">Case #181</a>), Cuba became one of the central issues of U.S. foreign policy: the U.S. viewed Cuba as a potential source of communist-oriented subversive activities in Latin America.",
196,4,,"When the U.S. discovered the presence of Soviet military personnel in Cuba on 7 September 1962 it called up 150,000 reservists.","When the U.S. discovered the presence of Soviet military personnel in Cuba on 7 September 1962 it called up 150,000 reservists.",,
196,5,,The Soviets mobilized on the 11th.,The Soviets mobilized on the 11th.,,
196,6,,"Although persistent rumors circulated concerning the deployment of Soviet missiles in Cuba, Soviet Ambassador Anatoly Dobrynin denied the charges, and Premier Khrushchev gave his personal assurances that ground-to-ground missiles would never be shipped to Cuba.","Although persistent rumors circulated concerning the deployment of Soviet missiles in Cuba, Soviet Ambassador Anatoly Dobrynin denied the charges, and Premier Khrushchev gave his personal assurances that ground-to-ground missiles would never be shipped to Cuba.",,
196,7,,On the eve of the Missile crisis Washington did not openly challenge the Soviet statements concerning the defensive character of the weapons being sent to Cuba.,On the eve of the Missile crisis Washington did not openly challenge the Soviet statements concerning the defensive character of the weapons being sent to Cuba.,,
196,8,,The U.S. crisis was triggered on 16 October when the CIA presented to President Kennedy photographic evidence of the presence of Soviet missiles in Cuba.,The U.S. crisis was triggered on 16 October when the CIA presented to President Kennedy photographic evidence of the presence of Soviet missiles in Cuba.,,
196,9,,The U.S. responded with a decision on the 20th to blockade all offensive military equipment en route to Cuba.,The U.S. responded with a decision on the 20th to blockade all offensive military equipment en route to Cuba.,,
196,10,,"When this was announced on 22 October, a crisis was triggered for Cuba and the USSR.",,,
196,11,,"When this was announced on 22 October, a crisis was triggered for Cuba and the USSR.	An urgent meeting of the UN Security Council was requested by both the U.S. and Cuba on the 22nd, and by the USSR the next day.","When this was announced on 22 October, a crisis was triggered for Cuba and the USSR.	An urgent meeting of the UN Security Council was requested by both the U.S. and Cuba on the 22nd, and by the USSR the next day.","An urgent meeting of the UN Security Council was requested by both the U.S. and Cuba on the 22nd, and by the USSR the next day.",
196,12,,"On the 23rd as well, the Soviets accused the United States of violating the UN Charter and announced an alert of its armed forces and those of the Warsaw Pact members.","On the 23rd as well, the Soviets accused the United States of violating the UN Charter and announced an alert of its armed forces and those of the Warsaw Pact members.",,
196,13,,That day Cuba responded by condemning the U.S. blockade and declaring its willingness to fight.,That day Cuba responded by condemning the U.S. blockade and declaring its willingness to fight.,,
196,14,,"A resolution was adopted on the 23rd by the OAS calling for the withdrawal of the missiles from Cuba and recommending that member-states take all measures, including the use of force, to ensure that the government of Cuba would not continue to receive military material.","A resolution was adopted on the 23rd by the OAS calling for the withdrawal of the missiles from Cuba and recommending that member-states take all measures, including the use of force, to ensure that the government of Cuba would not continue to receive military material.",,
196,15,,On 24 October the Security Council adopted a resolution requesting the Secretary-General to confer with the parties.,On 24 October the Security Council adopted a resolution requesting the Secretary-General to confer with the parties.,,
196,16,,"On that same day, U Thant began mediation by sending identical letters to Khrushchev and Kennedy which proposed that the Soviet Union and the United States enter into negotiations, during which period both the shipment of arms and the quarantine would be suspended.","On that same day, U Thant began mediation by sending identical letters to Khrushchev and Kennedy which proposed that the Soviet Union and the United States enter into negotiations, during which period both the shipment of arms and the quarantine would be suspended.",,
196,17,,Moscow's major response to the crisis was a letter from Khrushchev to Kennedy on 26 October offering the removal of Soviet offensive weapons from Cuba and the cessation of further shipments in exchange for an end to the U.S. quarantine and a U.S. assurance that it would not invade Cuba.,Moscow's major response to the crisis was a letter from Khrushchev to Kennedy on 26 October offering the removal of Soviet offensive weapons from Cuba and the cessation of further shipments in exchange for an end to the U.S. quarantine and a U.S. assurance that it would not invade Cuba.,,
196,18,,The situation was exacerbated on the 27th when a U.S. U-2 surveillance plane was shot down.,The situation was exacerbated on the 27th when a U.S. U-2 surveillance plane was shot down.,,
196,19,,That day another Khrushchev letter was received in Washington offering the removal of Soviet missiles from Cuba in exchange for the removal of U.S. missiles from Turkey.,That day another Khrushchev letter was received in Washington offering the removal of Soviet missiles from Cuba in exchange for the removal of U.S. missiles from Turkey.,,
196,20,,U.S. mobilization and aerial reconnaissance flights were stepped up.,U.S. mobilization and aerial reconnaissance flights were stepped up.,,
196,21,,And on the 27th President Kennedy sent the Soviet premier an acceptance of the proposals contained in the letter of 26 October while making no reference to Khrushchev's second letter of the 27th.,And on the 27th President Kennedy sent the Soviet premier an acceptance of the proposals contained in the letter of 26 October while making no reference to Khrushchev's second letter of the 27th.,,
196,22,,The following day Khrushchev notified the U.S. government that he had ordered work on the missile sites in Cuba stopped.,The following day Khrushchev notified the U.S. government that he had ordered work on the missile sites in Cuba stopped.,,
196,23,,He agreed to ship the missiles back to the USSR and promised that UN observers would be allowed to verify the dismantling of the sites.,He agreed to ship the missiles back to the USSR and promised that UN observers would be allowed to verify the dismantling of the sites.,,
196,24,,At the same time he warned Washington that U-2 reconnaissance flights over Cuba must be stopped as well.,At the same time he warned Washington that U-2 reconnaissance flights over Cuba must be stopped as well.,,
196,25,,The crisis continued at a lower level of intensity for several more weeks due to Cuban President Castro's demands concerning a U.S. pledge not to invade his country.,The crisis continued at a lower level of intensity for several more weeks due to Cuban President Castro's demands concerning a U.S. pledge not to invade his country.,,
196,26,,"On 30 October U Thant began talks in Havana, and Kennedy agreed to lift the quarantine for the duration of the talks.","On 30 October U Thant began talks in Havana, and Kennedy agreed to lift the quarantine for the duration of the talks.",,
196,27,,"When Cuba rejected UN inspection, the U.S. resumed the quarantine and air surveillance.","When Cuba rejected UN inspection, the U.S. resumed the quarantine and air surveillance.",,
196,28,,The Kremlin sent Deputy Premier Anastas Mikoyan to Cuba on 2 November to try to persuade Castro to allow UN inspection.,The Kremlin sent Deputy Premier Anastas Mikoyan to Cuba on 2 November to try to persuade Castro to allow UN inspection.,,
196,29,,"When this proved unsuccessful, a U.S.-USSR agreement was reached on 7 November allowing U.S. inspection and interception of Soviet ships leaving Cuba and the photographing of the missiles.","When this proved unsuccessful, a U.S.-USSR agreement was reached on 7 November allowing U.S. inspection and interception of Soviet ships leaving Cuba and the photographing of the missiles.",,
196,30,,The following day the superpowers negotiated the removal of the IL-28 bombers which Castro had claimed were Cuban property.,The following day the superpowers negotiated the removal of the IL-28 bombers which Castro had claimed were Cuban property.,,
196,31,,"Castro's agreement was conveyed to the U.S. on 20 November 1962, which terminated the Missile crisis for all three actors.","Castro's agreement was conveyed to the U.S. on 20 November 1962, which terminated the Missile crisis for all three actors.",,
196,32,,"The U.S. naval quarantine was lifted immediately, but aerial surveillance continued until the agreement was completely carried out.","The U.S. naval quarantine was lifted immediately, but aerial surveillance continued until the agreement was completely carried out.",,
196,33,,U Thants mediation efforts had an important impact on crisis resolution.,U Thant's mediation efforts had an important impact on crisis resolution.,U Thant\u0092s mediation efforts had an important impact on crisis resolution,
196,34,,The acting Secretary-General managed to act as a facilitator and kept lines of communication open by contacting both parties.,The acting Secretary-General managed to act as a facilitator and kept lines of communication open by contacting both parties.,,
196,35,,He also used formulative mediation by highlighting common interests and making substantive suggestions to both sides for diffusing the crisis.,He also used formulative mediation by highlighting common interests and making substantive suggestions to both sides for diffusing the crisis.,He also used formulative mediation by highlighting common interests and making substantive suggestions to both sides for diffusing the crisis.  Ov,
196,36,,"Overall, U Thants mediation effort was a significant factor in easing tensions between crisis actors which contributed to a more rapid termination of the crisis.","Overall, U Thants mediation effort was a significant factor in easing tensions between crisis actors which contributed to a more rapid termination of the crisis.",,
196,37,,"Three regional/security organizations were involved in this crisis -- the OAS, NATO, and the WTO. Kennedy sent Dean Acheson to Paris on 23 October to brief NATO's Permanent Council on U.S. measures against Cuba.","Three regional/security organizations were involved in this crisis -- the OAS, NATO, and the WTO. Kennedy sent Dean Acheson to Paris on 23 October to brief NATO's Permanent Council on U.S. measures against Cuba.",,
196,38,,"Involved were members of the Warsaw Pact, whose forces were put on alert, and Latin American states which offered military assistance to the U.S.","Involved were members of the Warsaw Pact, whose forces were put on alert, and Latin American states which offered military assistance to the U.S.",,
252,1,1,A crisis for Kuwait began on 20 March and ended on 8 June 1973.,A crisis for Kuwait began on 20 March and ended on 8 June 1973.,A crisis for Kuwait began on 20 March and ended on 8 June 1973.,
252,2,2,Pre-crisis,,,
252,3,2,By 1973 Iraq's pressure on Kuwait to make territorial concessions that would enable an Iraqi creation of a new base for petroleum and military operations in the Persian Gulf had increased.,Pre-crisisBy 1973 Iraq's pressure on Kuwait to make territorial concessions that would enable an Iraqi creation of a new base for petroleum and military operations in the Persian Gulf had increased.,Pre-crisisBy 1973 Iraq's pressure on Kuwait to make territorial concessions that would enable an Iraqi creation of a new base for petroleum and military operations in the Persian Gulf had increased.,
252,4,4,A year earlier Kuwait had refused a large loan to Iraq.,A year earlier Kuwait had refused a large loan to Iraq.,A year earlier Kuwait had refused a large loan to Iraq.,
252,5,5,"The USSR supported Iraqi claims to two Kuwaiti islands, Bubiyan and Warba, as it was expected that Iraq would permit the USSR to establish a naval facility there.","The USSR supported Iraqi claims to two Kuwaiti islands, Bubiyan and Warba, as it was expected that Iraq would permit the USSR to establish a naval facility there.","The USSR supported Iraqi claims to two Kuwaiti islands, Bubiyan and Warba, as it was expected that Iraq would permit the USSR to establish a naval facility there.",
252,6,6,"Soviet support of Iraq was perceived by Kuwait, Iran, and other Western-aligned states in the Middle East as threatening.","Soviet support of Iraq was perceived by Kuwait, Iran, and other Western-aligned states in the Middle East as threatening.","Soviet support of Iraq was perceived by Kuwait, Iran, and other Western-aligned states in the Middle East as threatening.",
252,7,7,And Kuwait's growing rapprochement with Iran and Sa'udi Arabia disturbed Iraqi decision makers.,And Kuwait's growing rapprochement with Iran and Sa'udi Arabia disturbed Iraqi decision makers.,And Kuwait's growing rapprochement with Iran and Sa'udi Arabia disturbed Iraqi decision makers.,
252,8,8,"On 20 March 1973 Iraqi troops crossed the border into Kuwait, with a view to annexing part of the disputed territory along their 99-mile border.","On 20 March 1973 Iraqi troops crossed the border into Kuwait, with a view to annexing part of the disputed territory along their 99-mile border.","On 20 March 1973 Iraqi troops crossed the border into Kuwait, with a view to annexing part of the disputed territory along their 99-mile border.",
252,9,9,"Kuwait immediately sent troops, but they were defeated by the superior Iraqi forces, who then occupied the Kuwaiti outpost of Sametah where a number of huts were established.","Kuwait immediately sent troops, but they were defeated by the superior Iraqi forces, who then occupied the Kuwaiti outpost of Sametah where a number of huts were established.","Kuwait immediately sent troops, but they were defeated by the superior Iraqi forces, who then occupied the Kuwaiti outpost of Sametah where a number of huts were established.",
252,10,10,When Kuwait surrounded these huts with mosques the Iraqi forces were contained.,When Kuwait surrounded these huts with mosques the Iraqi forces were contained.,When Kuwait surrounded these huts with mosques the Iraqi forces were contained.,
252,11,11,"The next day, at an emergency session of the Kuwaiti cabinet and parliament, a decision was taken to negotiate rather than fight.","The next day, at an emergency session of the Kuwaiti cabinet and parliament, a decision was taken to negotiate rather than fight.","The next day, at an emergency session of the Kuwaiti cabinet and parliament, a decision was taken to negotiate rather than fight.",
252,11,11,"The next day, at an emergency session of the Kuwaiti cabinet and parliament, a decision was taken to negotiate rather than fight.",,,
252,13,13,"On 21 March, Arab League Secretary-General Riad began mediation efforts to reduce hostilities in the crisis.","On 21 March, Arab League Secretary-General Riad began mediation efforts to reduce hostilities in the crisis.","On 21 March, Arab League Secretary-General Riad began mediation efforts to reduce hostilities in the crisis.",
252,14,14,"Kuwait's insistence on Iraq's withdrawal, and the latter's refusal to do so, brought Riads efforts to a standstill.","Kuwait's insistence on Iraq's withdrawal, and the latter's refusal to do so, brought Riads efforts to a standstill.","Kuwait's insistence on Iraq's withdrawal, and the latter's refusal to do so, brought Riads efforts to a standstill.",
252,15,15,"On 6 April the two foreign ministers met, after which Iraqi forces were withdrawn and an announcement was made by both parties that they accepted the Palestine Liberation Organization (PLO) leader, Yasser Arafat, as mediator.","On 6 April the two foreign ministers met, after which Iraqi forces were withdrawn and an announcement was made by both parties that they accepted the Palestine Liberation Organization leader, Yasser Arafat, as mediator.","On 6 April the two foreign ministers met, after which Iraqi forces were withdrawn and an announcement was made by both parties that they accepted the Palestine Liberation Organization leader, Yasser Arafat, as mediator.",
252,16,16,The debate centered around Kuwait's refusal to concede or to lease the islands to Iraq.,The debate centered around Kuwait's refusal to concede or to lease the islands to Iraq.,The debate centered around Kuwait's refusal to concede or to lease the islands to Iraq.,
252,17,17,The following day Kuwait offered a substantial investment in Iraqi development projects and special treatment for Iraqis residing in Kuwait.,The following day Kuwait offered a substantial investment in Iraqi development projects and special treatment for Iraqis residing in Kuwait.,The following day Kuwait offered a substantial investment in Iraqi development projects and special treatment for Iraqis residing in Kuwait.,The following day Kuwait offered a substantial investment in Iraqi development projects and special treatment for Iraqis residing in Kuwait.
252,18,18,"The crisis ended on 8 June 1973 when an agreement was reached between the two states that included an Iraqi increase of freshwater supplies to Kuwait from the Shatt-al-Arab, but there were no Kuwaiti concessions on the islands.","The crisis ended on 8 June 1973 when an agreement was reached between the two states that included an Iraqi increase of freshwater supplies to Kuwait from the Shatt-al-Arab, but there were no Kuwaiti concessions on the islands.","The crisis ended on 8 June 1973 when an agreement was reached between the two states that included an Iraqi increase of freshwater supplies to Kuwait from the Shatt-al-Arab, but there were no Kuwaiti concessions on the islands.",
252,19,19,"Following the agreement both Kuwait and Sa'udi Arabia completed substantial arms deals with the U.S. and the U.K., respectively, while Iraq obtained increased arms supplies from the USSR.Mediation attempts were made by Egypt, Lebanon, and Syria, but these were secondary to the role of Arafat; and Iran and Sa'udi Arabia offered military support to Kuwait.","Following the agreement both Kuwait and Sa'udi Arabia completed substantial arms deals with the U.S. and the U.K., respectively, while Iraq obtained increased arms supplies from the USSR.Mediation attempts were made by Egypt, Lebanon, and Syria, but these were secondary to the role of Arafat; and Iran and Sa'udi Arabia offered military support to Kuwait.","Following the agreement both Kuwait and Sa'udi Arabia completed substantial arms deals with the U.S. and the U.K., respectively, while Iraq obtained increased arms supplies from the USSR.Mediation attempts were made by Egypt, Lebanon, and Syria, but these were secondary to the role of Arafat; and Iran and Sa'udi Arabia offered military support to Kuwait.",
252,20,20,"There were reports of 15,000 Sa'udi troops in Kuwait shortly after the beginning of the crisis.","There were reports of 15,000 Sa'udi troops in Kuwait shortly after the beginning of the crisis.","There were reports of 15,000 Sa'udi troops in Kuwait shortly after the beginning of the crisis.","There were reports of 15,000 Sa'udi troops in Kuwait shortly after the beginning of the crisis."
252,21,21,"The U.S., the USSR, and the UN were not involved in this crisis.","The U.S., the USSR, and the UN were not involved in this crisis.","The U.S., the USSR, and the UN were not involved in this crisis.",
260,1,1,"Zaire, Zambia, South Africa, Angola, Cuba, the Soviet Union, and the United States were direct participants in a crisis from 12 July 1975 until 27 March 1976.","Zaire, Zambia, South Africa, Angola, Cuba, the Soviet Union, and the United States were direct participants in a crisis from 12 July 1975 until 27 March 1976.","Zaire, Zambia, South Africa, Angola, Cuba, the Soviet Union, and the United States were direct participants in a crisis from 12 July 1975 until 27 March 1976.",
260,2,2,Pre-crisis,,,
260,3,2,"Pre-crisisThe Alvor Agreement, signed on 15 January 1975, formally granted independence to Angola, to take effect on 10 November 1975 after elections in October.","Pre-crisisThe Alvor Agreement, signed on 15 January 1975, formally granted independence to Angola, to take effect on 10 November 1975 after elections in October.","The Alvor Agreement, signed on 15 January 1975, formally granted independence to Angola, to take effect on 10 November 1975 after elections in October.",
260,4,3,"A transitional government was to be composed of representatives of the following: the FNLA, formed in the mid-1960s, in a split from the FNLA -- it had a strong popular base among the Ovimbundu tribe in the south and central rural areas and received support from South Africa and Zambia.","A transitional government was to be composed of representatives of the following: the FNLA, formed in the mid-1960s, in a split from the FNLA -- it had a strong popular base among the Ovimbundu tribe in the south and central rural areas and received support from South Africa and Zambia.","A transitional government was to be composed of representatives of the following: the FNLA (the National Front for the Liberation of Angola), formed in 1957, supported by the U.S. and Zaire, with its power base in the Bakongo tribe of northern Angola; the marxist-oriented MPLA, supported by the Soviet Union and Cuba and popular in Angola's coastal urban areas, among intellectuals of the north-central Kimbundu tribe; and UNITA (the National Union for the Total Independence of Angola), formed in the mid-1960s, in a split from the FNLA--it had a strong popular base among the Ovimbundu tribe in the south and central rural areas and received support from South Africa and Zambia.",
260,5,4,There was to be a unified security force under a Portuguese high commissioner.,There was to be a unified security force under a Portuguese high commissioner.,There was to be a unified security force under a Portuguese high commissioner.,
260,6,5,"The Alvor Agreement broke down as early as March 1975, with major fighting between the FNLA and the MPLA erupting in late April.","The Alvor Agreement broke down as early as March 1975, with major fighting between the FNLA and the MPLA erupting in late April.","The Alvor Agreement broke down as early as March 1975, with major fighting between the FNLA and the MPLA erupting in late April.",
260,7,6,"Portugal declared martial law on 15 May. President Kenyatta of Kenya mediated a cease-fire on 21 June, but it was broken almost immediately.","Portugal declared martial law on 15 May. President Kenyatta of Kenya mediated a cease-fire on 21 June, but it was broken almost immediately.","Portugal declared martial law on 15 May. President Kenyatta of Kenya mediated a cease-fire on 21 June, but it was broken almost immediately.",
260,8,7,"On 12 July 1975 Soviet-backed MPLA forces attacked the FNLA headquarters in the capital, Luanda, triggering a crisis for Zaire and Zambia when the essential Benguela railroad was closed down.","On 12 July 1975 Soviet-backed MPLA forces attacked the FNLA headquarters in the capital, Luanda, triggering a crisis for Zaire and Zambia when the essential Benguela railroad was closed down.","On 12 July 1975 Soviet-backed MPLA forces attacked the FNLA headquarters in the capital, Luanda, triggering a crisis for Zaire and Zambia when the essential Benguela railroad was closed down.",
260,9,8,Zaire began sending small-scale commando units into Angola in mid-July to assist the FNLA.,Zaire began sending small-scale commando units into Angola in mid-July to assist the FNLA.,Zaire began sending small-scale commando units into Angola in mid-July to assist the FNLA.,
260,10,9,"By that time the Soviet Union had started providing massive aid to the MPLA, causing alarm in Zaire, Zambia, and South Africa, as well as in the United States, which had been providing covert aid to both the FNLA and the UNITA movements.","By that time the Soviet Union had started providing massive aid to the MPLA, causing alarm in Zaire, Zambia, and South Africa, as well as in the United States, which had been providing covert aid to both the FNLA and the UNITA movements.","By that time the Soviet Union had started providing massive aid to the MPLA, causing alarm in Zaire, Zambia, and South Africa, as well as in the United States, which had been providing covert aid to both the FNLA and the UNITA movements.",
260,11,10,Zambia responded on 27 July with an appeal to the U.S. for aid.,Zambia responded on 27 July with an appeal to the U.S. for aid.,Zambia responded on 27 July with an appeal to the U.S. for aid.,
260,12,11,"Hydroelectric power projects, built jointly by South Africa and Portugal, were located on the Kunene River bordering South-West Africa.","Hydroelectric power projects, built jointly by South Africa and Portugal, were located on the Kunene River bordering South-West Africa.","Hydroelectric power projects, built jointly by South Africa and Portugal, were located on the Kunene River bordering South-West Africa (later Namibia).",
260,13,11.1,,,"Clashes between UNITA and MPLA forces began approaching the power projects on 8 August, triggering a crisis for South Africa, which sent small units of troops to the projects on the 11th and 12th.",
260,14,11.2,,,"On the 15th the FNLA captured the major port of Lobito, triggering a crisis for the MPLA (Angola), Cuba, and the Soviet Union.",
260,15,11.3,,,Cuba and the USSR were concerned that South African intervention would result in the defeat of the MPLA in the struggle for power and influence in Angola.,
260,16,11.4,,,"Cuba's response, on 20 August, was a decision to increase military aid to the MPLA (which was later to be recognized as the government of Angola).",
260,17,12,More South African troops were sent to the district capital on 21-22 August.,More South African troops were sent to the district capital on 21-22 August.,More South African troops were sent to the district capital on 21-22 August.,
260,18,13,"On the 21st UNITA declared war on the MPLA, after concluding an alliance with the FNLA.","On the 21st UNITA declared war on the MPLA, after concluding an alliance with the FNLA.","On the 21st UNITA declared war on the MPLA, after concluding an alliance with the FNLA. On the 31st the USSR, too, increased its aid to Angola.",
260,19,13,"On the 31st the USSR, too, increased its aid to Angola.","On the 31st the USSR, too, increased its aid to Angola.",,
260,20,15,"On 1 September the MPLA responded with a major offensive that succeeded in reversing its losses, triggering a crisis for the United States.","On 1 September the MPLA responded with a major offensive that succeeded in reversing its losses, triggering a crisis for the United States.","On 1 September the MPLA (Angola) responded with a major offensive that succeeded in reversing its losses, triggering a crisis for the United States.",
260,21,16,Cuban troops began to arrive on the 3rd.,Cuban troops began to arrive on the 3rd.,Cuban troops began to arrive on the 3rd.,
260,22,17,On 11 September Zaire sent two full battalions to strengthen the FNLA. President Mobutu approached the U.S. for aid and initiated diplomatic activity with other African states.,On 11 September Zaire sent two full battalions to strengthen the FNLA. President Mobutu approached the U.S. for aid and initiated diplomatic activity with other African states.,On 11 September Zaire sent two full battalions to strengthen the FNLA. President Mobutu approached the U.S. for aid and initiated diplomatic activity with other African states.,
260,23,18,"The U.S. responded on 25 September with an increase of covert aid to Zaire, to be funneled to UNITA and the FNLA. President Ford requested that Congress increase emergency aid to Zaire.","The U.S. responded on 25 September with an increase of covert aid to Zaire, to be funneled to UNITA and the FNLA. President Ford requested that Congress increase emergency aid to Zaire.","The U.S. responded on 25 September with an increase of covert aid to Zaire, to be funneled to UNITA and the FNLA. President Ford requested that Congress increase emergency aid to Zaire.",
260,24,19,South Africa's response to the escalating crisis was the dispatch of a strike force into Angola on 23 October 1975 to aid the FNLA/UNITA alliance.,South Africa's response to the escalating crisis was the dispatch of a strike force into Angola on 23 October 1975 to aid the FNLA/UNITA alliance.,South Africa's response to the escalating crisis was the dispatch of a strike force into Angola on 23 October 1975 to aid the FNLA/UNITA alliance.,
260,25,20,It was successful in recouping earlier losses.,It was successful in recouping earlier losses.,It was successful in recouping earlier losses.,
260,26,21,"A further escalation for Zaire, Zambia, the U.S., and South Africa was catalyzed by the arrival of a large number of Cuban troops to fight alongside the MPLA, together with massive arms supplies to Angola from the Soviet Union.","A further escalation for Zaire, Zambia, the U.S., and South Africa was catalyzed by the arrival of a large number of Cuban troops to fight alongside the MPLA, together with massive arms supplies to Angola from the Soviet Union.","A further escalation for Zaire, Zambia, the U.S., and South Africa was catalyzed by the arrival of a large number of Cuban troops to fight alongside the MPLA, together with massive arms supplies to Angola from the Soviet Union.",
260,27,22,On 10 November the remaining Portuguese personnel were withdrawn from Angola.,On 10 November the remaining Portuguese personnel were withdrawn from Angola.,On 10 November the remaining Portuguese personnel were withdrawn from Angola.,
260,28,23,Both the MPLA and the FNLA/UNITA declared the independence of Angola.,Both the MPLA and the FNLA/UNITA declared the independence of Angola.,Both the MPLA and the FNLA/UNITA declared the independence of Angola.,
260,29,24,"The former was recognized by the USSR, Soviet-bloc members, including Cuba, and some African states.","The former was recognized by the USSR, Soviet-bloc members, including Cuba, and some African states.","The former was recognized by the USSR, Soviet-bloc members, including Cuba, and some African states.",
260,30,25,The latter was never officially recognized.,The latter was never officially recognized.,The latter was never officially recognized.,
260,31,26,"The U.S. crisis ended on 19 December 1975, when Congress refused to grant aid to Zaire or to support the FNLA/UNITA. An earlier appeal by Secretary of State Kissinger to the NATO Foreign Ministers' Council for support to the FNLA/UNITA was also rejected.","The U.S. crisis ended on 19 December 1975, when Congress refused to grant aid to Zaire or to support the FNLA/UNITA. An earlier appeal by Secretary of State Kissinger to the NATO Foreign Ministers' Council for support to the FNLA/UNITA was also rejected.","The U.S. crisis ended on 19 December 1975, when Congress refused to grant aid to Zaire or to support the FNLA/UNITA. An earlier appeal by Secretary of State Kissinger to the NATO Foreign Ministers' Council for support to the FNLA/UNITA was also rejected.",
260,32,27,The crisis for Zambia ended after a MPLA victory had become more apparent: on 18 February 1976 Zambia announced that it would recognize the state of Angola but not the MPLA government.,The crisis for Zambia ended after a MPLA victory had become more apparent: on 18 February 1976 Zambia announced that it would recognize the state of Angola but not the MPLA government.,The crisis for Zambia ended after a MPLA victory had become more apparent: on 18 February 1976 Zambia announced that it would recognize the state of Angola but not the MPLA government.,
260,33,28,"This was done on 22 February, after negotiations.","This was done on 22 February, after negotiations.","This was done on 22 February, after negotiations.",
260,34,29,"The crisis for Angola, Cuba, and the USSR ended on 24 February after UNITA announced, on the 12th, its decision to retreat and revert to guerrilla warfare, followed by a similar FNLA announcement on the 24th.","The crisis for Angola, Cuba, and the USSR ended on 24 February after UNITA announced, on the 12th, its decision to retreat and revert to guerrilla warfare, followed by a similar FNLA announcement on the 24th.","The crisis for Angola, Cuba, and the USSR ended on 24 February after UNITA announced, on the 12th, its decision to retreat and revert to guerrilla warfare, followed by a similar FNLA announcement on the 24th.",
260,35,30,"On 28 February Zaire announced its decision to recognize the Angola government, after talks between Mobutu and the MPLA head, Neto.","On 28 February Zaire announced its decision to recognize the Angola government, after talks between Mobutu and the MPLA head, Neto.","On 28 February Zaire announced its decision to recognize the Angola government, after talks between Mobutu and the MPLA head, Neto.",
260,36,31,"South Africa, after extensive negotiations via British Foreign Secretary Callaghan and the Soviet ambassador to London, achieved MPLA guarantees for the security of the hydroelectric projects and the safety of the personnel there.","South Africa, after extensive negotiations via British Foreign Secretary Callaghan and the Soviet ambassador to London, achieved MPLA guarantees for the security of the hydroelectric projects and the safety of the personnel there.","South Africa, after extensive negotiations via British Foreign Secretary Callaghan and the Soviet ambassador to London, achieved MPLA guarantees for the security of the hydroelectric projects and the safety of the personnel there.",
260,37,32,On 27 March South Africa announced a complete troop withdrawal from Angola.,On 27 March South Africa announced a complete troop withdrawal from Angola.,On 27 March South Africa announced a complete troop withdrawal from Angola.,
260,38,33,There was intense foreign involvement in the Angolan War.,There was intense foreign involvement in the Angolan War.,There was intense foreign involvement in the Angolan War.,
260,39,34,"Cuba, the Soviet Union, Congo, and Yugoslavia actively supported the MPLA, with Cuban forces directly engaged in combat.","Cuba, the Soviet Union, Congo, and Yugoslavia actively supported the MPLA, with Cuban forces directly engaged in combat.","Cuba, the Soviet Union, Congo (Brazzaville), and Yugoslavia actively supported the MPLA, with Cuban forces directly engaged in combat.",
260,40,35,"The United States, China, North Korea, and Zaire aided the FNLA; Zaire, in addition to extensive diplomatic activity, provided military bases on its territory.","The United States, China, North Korea, and Zaire aided the FNLA; Zaire, in addition to extensive diplomatic activity, provided military bases on its territory.","The United States, China, North Korea, and Zaire aided the FNLA; Zaire, in addition to extensive diplomatic activity, provided military bases on its territory.",
260,41,36,Zambia supported UNITA diplomatically.,Zambia supported UNITA diplomatically.,Zambia supported UNITA diplomatically.,
260,42,37,And Tanzania provided diplomatic support and port facilities for the unloading of Soviet arms for the MPLA.,"And Tanzania provided diplomatic support and port facilities for the unloading of Soviet arms for the MPLA. There was also diplomatic activity by the Ivory Coast, Kenya, Uganda, and Nigeria.","And Tanzania provided diplomatic support and port facilities for the unloading of Soviet arms for the MPLA. There was also diplomatic activity by the Ivory Coast, Kenya, Uganda, and Nigeria.",
260,43,37,"There was also diplomatic activity by the Ivory Coast, Kenya, Uganda, and Nigeria.",,,
260,44,39,The OAU used several procedures in an attempt to settle the conflict; all were unsuccessful.,The OAU used several procedures in an attempt to settle the conflict; all were unsuccessful.,The OAU used several procedures in an attempt to settle the conflict; all were unsuccessful.,
260,45,40,In January 1975 it supported the Alvor Accords.,In January 1975 it supported the Alvor Accords.,In January 1975 it supported the Alvor Accords.,
260,46,41,In July it called for a cease-fire and a National Unity Government for Angola.,In July it called for a cease-fire and a National Unity Government for Angola.,In July it called for a cease-fire and a National Unity Government for Angola.,
