labels,n_sources,sentence,summary_text_distilbart_cnn_12_6,summary_text_bart_large
4969,7,"The United States’ reaction to Fidel Castro’s revolution in Cuba forms the immediate cause of the missile crisis.
The origins of the missile crisis, then, derived largely from United States-Cuban tensions.
The Cuban missile crisis began when Fidel Castro began a revolution to overthrow the Cuban government.
The direct stimulant for the Cuban missile crisis, however, was due to the emergence of the Communist led regime of Cuba, by Fidel Castro.
The Cuban crisis was the Cuban response to the Soviet invasion of Cuba.
The Cuban missile crisis was the result of a revolution by Fidel Castro.
The actions were the result of the Cuban revolution and led to the missile crisis in Cuba.
The origins of the missile crisis derived largely from United States-Cuban tensions.", The United States’ reaction to Fidel Castro’s revolution in Cuba forms the immediate cause of the missile crisis . The Cuban crisis was the Cuban response to the Soviet invasion of Cuba . The origins of the crisis derived largely from United States-Cuban tensions .,The Cuban missile crisis began when Fidel Castro began a revolution to overthrow the Cuban government. The United States’ reaction to Fidel Castro’s revolution in Cuba forms the immediate cause of the missile crisis. The Cuban crisis was the Cuban response to the Soviet invasion of Cuba.
5215,7,"More than 6 million Jews perished in Europe during World War II, most in German death camps.
In Europe under the Nazis, between the mid-1930s and 1945, six million Jews, along with other minority groups, died in concentration and death camps.
Around 6,000,000 Jews (half of whom died at the Auschwitz-Birkenau concentration camp in Poland) have been massacred during the Holocaust.
The Nazis killed some 6 million Jews, or about 40 percent of the world’s Jewish population.
During World War II , about 6 million Jews died in the Nazi campaign of mass murder known as the Holocaust.
By 1945, about 6 million Jews had been murdered—two of every three European Jews.
Nazi Germany, as part of a deliberate program of extermination, systematically killed 6 million people.
About 6 million people were killed in the Holocaust, including 6 million children.
More than 6 million Jews were systematically exterminated by the Nazis during the Holocaust.
The world learned that 6 million people had been killed in the Holocaust.
Around 6,000,000 Jews (half of whom died at Auschwitz-Birkenau concentration camp in Poland) have been massacred during the Holocaust.
From 1939-45, Hitler's death camps claimed the lives of six million Jews, or about 1/3 of the entire Jewish race."," Around 6,000,000 Jews (half of whom died at Auschwitz-Birkenau concentration camp in Poland) have been massacred during the Holocaust . The Nazis killed some 6 million Jews, or about 40 percent of the world’s Jewish population .","In Europe under the Nazis, between the mid-1930s and 1945, six million Jews, along with other minority groups, died in concentration and death camps. By 1945, about 6 million Jews had been murdered—two of every three European Jews. About 6 million people were killed in the Holocaust, including 6 million children."
5659,7,"Soon after John F Kennedy became President he started a new scheme of this kind when he set up an organization called the Peace Corps.
One of John F Kennedy’s first proposals as United States president was the establishment of a Peace Corps to help in developing nations.
As one of his first presidential acts, Kennedy asked Congress to create the Peace Corps.
The most original piece of legislation Kennedy put through Congress was the bill creating the Peace Corps, an agency that trained American volunteers to perform social and humanitarian service overseas.
Kennedy put legislation through Congress which was a bill creating the Peace Corps, an agency that trained American volunteers to perform social and humanitarian service oversees and promote world peace, which was important at the time because of unsettling foreign affairs.
See media help.In one of his first presidential acts, Kennedy asked Congress to create the Peace Corps.
Kennedy asked Congress to create the Peace Corps as one of his first presidential acts.
In one of his first presidential acts, Kennedy asked Congress to create the Peace Corps.
One of John F Kennedy’s first proposals as U.S. president was the establishment of a Peace Corps to help in developing nations.
The Peace Corps was initiated by President John F Kennedy and United States Aid for International Development.", One of John F Kennedy’s first proposals as U.S. president was the establishment of a Peace Corps to help in developing nations . The agency trained American volunteers to perform social and humanitarian service overseas . The Peace Corps was initiated by President Kennedy and United States Aid for International Development .,One of John F Kennedy’s first proposals as U.S. president was the establishment of a Peace Corps to help in developing nations. Kennedy asked Congress to create the Peace Corps as one of his first presidential acts. The agency trained American volunteers to perform social and humanitarian service oversees and promote world peace.
5673,7,"The “Louisiana Purchase”, as it was known, instantly doubled the size of the United States.
The Louisiana Purchase of French-claimed territory in 1803 almost doubled the nation's area.
In 1803, the United States purchased enough land from France to double the country’s size.
During Jefferson's two terms as President, the United States almost doubled in area with the purchase of the vast Louisiana Territory.
The Louisiana Purchase, territorial agreement with France, doubled the size of the United States in 1803.
Louisiana Purchase of French-claimed territory in 1803 almost doubled the nation's area.
During Jefferson's two terms as President, the U.S. almost doubled in area with the purchase of the vast Louisiana Territory.
The Louisiana Purchase, territorial agreement with France, doubled the size of the U.S. in 1803.
The Louisiana Purchase, during Jefferson’s administration, doubled the size of the United States.
He helped acquire the Louisiana territory from the French in 1803, effectively doubling the size of the United States.
The purchase of the territory of Louisiana would double the size of the United States."," The Louisiana Purchase of French-claimed territory in 1803 almost doubled the nation's area . The purchase of the territory of Louisiana would double the size of the U.S. The ‘Louisiana Purchase’, as it was known, was during Jefferson’s two terms as President .","The Louisiana Purchase of French-claimed territory in 1803 almost doubled the nation's area. During Jefferson's two terms as President, the U.S. almost doubled in area. The purchase of the territory of Louisiana would double the size of the United States."
5680,7,"In 1954 the famous Supreme Court decision Brown v Board of Education attacked the notion of state segregation.
In Brown Board of Education of Topeka, the Supreme Court had declared segregation in public schools to be unconstitutional.
This ruling declared segregation in public schools to be unconstitutional and undermined the legal basis for segregation in other areas of American life.
Desegregating Public Schools In 1954, the Supreme Court had ruled in Brown Board of Education that school segregation was unconstitutional.
In Brown Board of Education , the Court struck down school segregation, ruling that separate schools for whites and blacks were inherently unequal.
The United States Supreme Court had ruled in 1954 in Brown Board of Education that racial segregation in public schools was unconstitutional.
In 1954, the United States Supreme Court had made it clear that segregation of schools was illegal.
The Brown Board of Education ruled that racial segregation in the public schools was unconstitutional.
This ruling declared segregation in public schools to be unconstitutional.
The 1954 Supreme Court ruling in Brown Board of Education outlawed segregation in public schools.
In 1954, the Supreme Court had ruled in Brown Board of Education that school segregation was unconstitutional.
The Supreme Court ruling Brown Board of Education outlawing segregation in public schools dates back to 1954."," In 1954 the famous Supreme Court decision Brown v Board of Education attacked the notion of state segregation . This ruling declared segregation in public schools to be unconstitutional and undermined the legal basis for segregation in other areas of American life . In 1954, the United States Supreme Court had made it clear that segregation of schools was illegal .",In 1954 the famous Supreme Court decision Brown v Board of Education attacked the notion of state segregation. This ruling declared segregation in public schools to be unconstitutional and undermined the legal basis for segregation in other areas of American life. The U.S. Supreme Court had made it clear that segregation of schools was illegal.
7106,7,"As a result of developments in Vietnam and widespread unrest across the country, Lyndon Johnson announced that he would not seek reelection in 1968.
In March 1968, Johnson surprised the nation by announcing that he would not seek reelection.
Johnson shocked the nation by announcing on March 31, 1968, that he would not run for reelection.
Johnson also announced that he would not be seeking re-election as President.
President Johnson announced on March 31, 1968, that he would not run for reelection.
President Johnson announced March 31 that he would not seek reelection.
Johnson stunned the nation with his announcement that he would not run for reelection.
Johnson shocked the nation by announcing that he wouldn't seek reelection.
President Lyndon B Johnson announced his decision not to run for re-election in Vietnam in 1968.
Lyndon Johnson announced in 1968 that he would not seek reelection in 1968."," Johnson shocked the nation by announcing on March 31, 1968, that he would not run for reelection . Johnson stunned the nation with his decision not to run for re-election in Vietnam in 1968 . As a result of developments in Vietnam and widespread unrest across the country, Johnson announced that he wouldn't seek reelection .","Lyndon Johnson shocked the nation by announcing on March 31, 1968, that he would not run for reelection. As a result of developments in Vietnam and widespread unrest across the country, Johnson announced that he wouldn't be seeking re-election as President."
9379,7,"A nationwide audience watched as the men faced each other in the first televised debates between presidential candidates.
A crucial factor in the election was the first televised presidential debate.
A nationwide audience watched as the men faced each other in the first televised presidential debates between presidential candidates.
First time debates shown on national television; determined fate of election.
They were the first televised debates between the two presidential candidates.
It was the first live televised debate in the history of presidential debates.
American viewers saw the first-ever televised debate between presidential candidates.
First time presidential debates shown on national television; determined the fate of the election.", A nationwide audience watched as the men faced each other in the first televised presidential debates between presidential candidates . It was the first live televised debate in the history of presidential debates . The first time debates shown on national television; determined fate of election .,First time debates shown on national television; determined fate of election. A nationwide audience watched as the men faced each other in the first televised presidential debates between presidential candidates. It was the first live televised debate in the history of presidential debates. American viewers saw the first-ever televised debate between presidential candidate.
9826,7,"Out of these circumstances grew the competition between the United States and the Soviet Union for hegemonic leadership.
Soon after World War II, the communist Soviet Union and the capitalist United States became rivals.
The United States and / the Soviet Union were having this sophisticated competition.
Soon after World War II, the communist Soviet Union and the capitalist U.S. became rivals.
The U.S. and the Soviet Union were competing in the sphere of influence.
The U.S. and the Soviet Union competed for influence over the people's choice of government.
After World War II, the Soviet Union and the U.S. launched a worldwide struggle for the sphere of influence.
Out of these circumstances grew the competition between the U.S. and the Soviet Union for hegemonic leadership.
After World War II, the Soviet Union and the United States became rivals for global dominance."," After World War II, the communist Soviet Union and the capitalist U.S. became rivals . Out of these circumstances grew the competition between the United States and the Soviet Union for hegemonic leadership . The United States competed for influence over the people's choice of government . The Soviet Union launched a worldwide struggle for the sphere of influence .","After World War II, the Soviet Union and the U.S. launched a worldwide struggle for the sphere of influence. Out of these circumstances grew the competition between the United States and the SovietUnion for hegemonic leadership. The Soviet Union was the dominant power in the world after the Second World War."
11486,7,"Cuban Revolutionary Leader Fidel Castro, 1926-2016 share Print Fidel Castro, the man who led Cuba for nearly a half century has died at the age of 90, his brother, President Raul Castro, announced on national television.
Fidel Castro: A Life In Pictures RFE/RL Fidel Castro, the man who led Cuba for nearly five decades, has died at the age of 90.
Late Friday evening, Cuban state media reported the death of their former leader, Fidel Castro, at age 90.
Former President Fidel Castro, who led a rebel army to improbable victory in Cuba, embraced Soviet-style communism and defied the power of 10 United States presidents during his half century rule, has died at age 90.
Cuban President Raul Castro has announced the death of his brother Fidel Castro at age 90 on Cuban state media on Friday, Nov., 2016.
The Cuban revolutionary and president in his own words Fidel Castro, Cuba’s former president and leader of the Communist revolution, has died aged 90, state TV has announced.
Associated Press.MIAMI — Fidel Castro, who led a rebel army to improbable victory, embraced Soviet-style communism, and defied the power of 10 United States presidents during his half-century rule of Cuba, has died at age 90.
Fidel Castro, who towered over his Caribbean island for nearly five decades, is dead at age 90.
Fidel Castro, the bearded Cuban strongman who made the tiny island into a thorn in the side of U.S. presidents for more than 50 years, has died.
Fidel Castro, leader of the Cuban revolution, has died, state media report.
Cuban President Raul Castro has announced the death of his brother Fidel Castro at age 90 on Cuban state media on Friday, Nov., Nov., 2016.
Fidel Castro, Cuba’s former president and leader of the Communist revolution, has died aged 90, state TV has announced.
Cuban state media reports the death of their former leader, Fidel Castro, at age 90."," Cuban Revolutionary Leader Fidel Castro, 1926-2016 share Print Fidel Castro has died at the age of 90, his brother, President Raul Castro, announced on national television . The bearded Cuban strongman who made the tiny island into a thorn in the side of U.S. presidents for more than 50 years has died .","Fidel Castro, the man who led Cuba for nearly a half century has died at the age of 90, his brother, President Raul Castro, announced on national television. The bearded Cuban strongman who made the tiny island into a thorn in the side of U.S. presidents for more than 50 years has died."
425,8,"The following day, National Security Advisor McGeorge Bundy informed President Kennedy of the presence of nuclear arms aimed at the United States from the island of Cuba7.
Kennedy's Initial Reaction It was National Security Adviser McGeorge Bundy who first informed Kennedy that the Soviets had placed missiles in Cuba.
McGeorge Bundy informed President Kennedy that “hard photographic evidence” had been obtained showing Soviet nuclear sites and missiles in Cuba.
There they briefed McGeorge Bundy, the President's special assistant for national security affairs, who informed President Kennedy that there was now hard evidence of the presence of offensive missiles in Cuba.
United States National Security Advisor McGeorge Bundy briefs President John F Kennedy on evidence the Soviets are constructing nuclear missile sites in Cuba, just 90 miles from United States territory.
McGeorge Bundy informs President Kennedy that evidence shows Soviet medium-range ballistic missiles in Cuba.
The presence of components of medium-range ballistic missiles on Cuba was first reported to President Kennedy by his national security adviser, McGeorge Bundy, on October 16, 1962, at 8:45m.
Bundy informed President Kennedy that there was now hard evidence of the presence of offensive missiles in Cuba.
The following day, National Security Advisor McGeorge Bundy informed President Kennedy of the presence of nuclear arms aimed at the U.S. from the island of Cuba.
U.S. national security adviser McGeorge Bundy informed President John F Kennedy that a U-2 spy plane flight over Cuba two days earlier had revealed medium-range, nuclear-capable missiles installed by the Soviet Union.
It was National Security Adviser McGeorge Bundy who first informed Kennedy that the Soviets had placed missiles in Cuba."," The following day, National Security Advisor McGeorge Bundy informed President Kennedy of the presence of nuclear arms aimed at the U.S. from the island of Cuba . The presence of components of medium-range ballistic missiles on Cuba was first reported to President Kennedy by his national security adviser .","The presence of components of medium-range ballistic missiles on Cuba was first reported to President Kennedy by his national security adviser, McGeorge Bundy, on October 16, 1962, at 8:45m. Bundy informed President Kennedy that there was now hard evidence of the presence of offensive missiles in Cuba."
567,8,"Containment, Doctrine and Course of Fundamental controlling United States Cold War strategy, designed to prevent further expansion of Soviet power.
After 1945, the Cold War emerged and brought with it the Containment policy which the Americans used to protect themselves against the Soviet Union.
Containment The grand strategy of the United States to deal with the Soviet Union during the Cold War.
During the Cold War, containment referred to a specific American policy of containing Soviet communism so as to promote a liberal economic and political world order.
Containment was the cornerstone of American foreign policy toward Soviet communism during the Cold War.
With the emergence of the cold war, the United States turned to a policy of containment to counter the perceived spread of communism.
From the late 1940s, the U.S. set out to block the spread of communism worldwide.
Containment was used by the United States so they could prevent communism spreading.
With the emergence of the cold war, the U.S. turned to a policy of containment to counter the perceived spread of communism.
The United States turned to containment in the 1950s to counter perceived communism.
The U.S. defense policy of deterrence began to transition to containment of the spread of communism."," Containment, Doctrine and Course of Fundamental controlling United States Cold War strategy, designed to prevent further expansion of Soviet power . Containment was the cornerstone of American foreign policy toward Soviet communism during the Cold War . The U.S. turned to containment in the 1950s to counter perceived communism .","After 1945, the Cold War emerged and brought with it the Containment policy which the Americans used to protect themselves against the Soviet Union. The U.S. turned to containment in the 1950s to counter perceived communism. Containment was used by the United States so they could prevent communism spreading."
604,8,"Advances in rocketry led to the development of ballistic missiles in both the United States and the Soviet Union.
The Soviet Union wanted to compete with the United States in building long range missiles.
The United States and the Soviet Union began developing intercontinental ballistic missiles in 1962.
By the 1960s, both the U.S. and the Soviet Union had developed intercontinental ballistic missiles.
The United States and the Soviet Union built long-range, intercontinental ballistic missiles.
In 1966, the Soviet Union began to mass produce Intercontinental Ballistic Missiles.
The Soviets increased their force of intercontinental missiles and submarine launched missiles.
The Soviet Union wanted to compete with the U.S. in building long range missiles.
The United States and the Soviet Union deployed new, more accurate intercontinental ballistic missiles and submarine-launched ballistic missiles.", Advances in rocketry led to the development of ballistic missiles in both the U.S. and the Soviet Union . The Soviet Union wanted to compete with the United States in building long range missiles . The Soviets increased their force of intercontinental missiles and submarine launched missiles .,The United States and the Soviet Union began developing intercontinental ballistic missiles in 1962. The Soviet Union wanted to compete with the U.S. in building long range missiles. The Soviets increased their force of intercontinental missiles and submarine launched missiles.
680,8,"We confirm that armaments now on Cuba, regardless of classification to which they belong, are destined exclusively for defensive purposes, in order to secure Cuban Republic from attack of aggressor.
We reaffirm that the armaments which are in Cuba, regardless of the classification to which they may belong, are intended solely for defensive purposes in order to secure the Republic of Cuba against the attack of an aggressor.
The armaments and military equipment sent to Cuba are designed exclusively for defensive purposes.
We affirm that the armaments which are in Cuba, regardless of the classification to which they may belong, are intended solely for defensive purposes, in order to secure the Republic of Cuba against the attack of an aggressor.
We reaffirm that the armaments which are in Cuba, regardless of the classification to which they may belong, are intended solely for defensive purposes in order to secure Republic of Cuba against the attack of an aggressor.
Earlier in the year, Soviet Premier Nikita Khrushchev had assured the president that the Soviet Union would provide Cuba only with defensive missiles.
The Soviet government asserted that the armaments and military equipment sent to Cuba are designed exclusively for defensive purposes.
Khrushchev stated that weapons being shipped to Cuba were exclusively for defensive purposes.
The armaments which are in Cuba, regardless of the classification to which they may belong, are intended solely for defensive purposes.", Soviet weapons sent to Cuba are designed exclusively for defensive purposes . Khrushchev had assured the president that the Soviet Union would provide Cuba only with defensive missiles . The Soviet government asserted that the armaments and military equipment sent to the island were designed exclusively .,"The Soviet government asserted that the armaments and military equipment sent to Cuba are designed exclusively for defensive purposes. Soviet Premier Nikita Khrushchev had assured the president that the Soviet Union would provide Cuba only with defensive missiles. The armaments which are in Cuba, regardless of the classification to which they may belong, are intended solely for defensive. purposes."
958,8,"May 1, 1960, an American U-2 spy plane was shot down over the Soviet Union.
Going a bit further to the past, in 1960, a United States U-2 spy plane was shot by the Soviets while it was taking photographs of Soviet military installations.
In May 1960, the Soviets shot down an American U-2 plane taking spy photographs from high over the Soviet Union.
The U-2 Spy Plane Incident On May 1, 1960, an American U-2 reconnaissance plane, piloted by Francis Gary Powers, was shot down deep inside Russian territory.
U-2 incident The United States sent pilot Francis Gary Powers in a U-2 spy plane on a mission over Russian airspace to accumulate intelligence on the Soviet Union on May 1, 1960.
May 1, 1960 -about eight weeks after the Oxford base became operational -an American U-2 high-altitude spy plane, piloted by Francis Gary Powers, was shot down over Russia.
U-2 spy plane was shot by the Soviets while it was taking photographs of Soviet military installations.
This was just after the Soviet Union had shot down the CIA's U-2 plane engaged in photographic reconnaissance over Russia.
On May 1, 1960, an American U-2 reconnaissance plane, piloted by Francis Gary Powers, was shot down deep inside Russian territory.
U-2 spy plane piloted by Francis Gary Powers was shot down over Russian air space."," In May 1960, the Soviets shot down an American U-2 plane taking spy photographs from high over the Soviet Union . This was just after the Soviets had shot down the CIA's plane engaged in photographic reconnaissance over Russia . The United States sent pilot Francis Gary Powers on a mission over Russian airspace to accumulate intelligence .","In May 1960, the Soviets shot down an American U-2 plane taking spy photographs from high over the Soviet Union. The U.S. sent pilot Francis Gary Powers on a mission over Russian airspace to accumulate intelligence. This was just after the Soviets had shot down the CIA's U- 2 plane engaged in photographic reconnaissance over Russia."
1388,8,"The United States still has an overwhelming edge in nuclear weapons over the Soviet Union.
But the United States would still have retained vast superiority over the Soviet Union in the number of nuclear missiles capable of striking the other side.
The United States had a considerable advantage in total number of nuclear warheads and in the technology required for their accurate delivery.
The United States had a considerable advantage in total number of nuclear warheads at the time and in the technology required for their accurate delivery.
Overall, the United States had a very considerable advantage in total number of nuclear warheads at the time and, more importantly, in all the technologies needed to deliver them accurately.
The United States had a considerable advantage in its total number of nuclear warheads and in the technology required for their accurate delivery.
The U.S. would still have vast superiority over the Soviet Union in the number of nuclear missiles capable of striking the other side.
Facing a wide and still growing United States advantage in nuclear weapons, especially those that could strike the Soviet homeland.
The U.S. had nuclear superiority over the Soviets at the time of the Missile Crisis.
The United States had a considerable advantage in total number of nuclear warheads at the time.
The United States had a very considerable advantage in total number of nuclear warheads at the time.", The United States still has an overwhelming edge in nuclear weapons over the Soviet Union . But the U.S. would still have vast superiority over the . Soviet Union in the number of nuclear missiles capable of striking the other side . The United . States had a considerable advantage in total number of . nuclear warheads and in the technology required for their accurate delivery .,The U.S. would still have vast superiority over the Soviet Union in the number of nuclear missiles capable of striking the other side. The United States had a very considerable advantage in total number ofnuclear warheads at the time and in the technology required for their accurate delivery.
1753,8,"On February 7, 1962, the United States imposed a full economic embargo on Cuba, a policy that continued for decades.
In February, 1962, the United States imposed a total economic embargo on Cuba that included food and medicine.
The United States started a financial embargo against Cuba in February 1962.
On February 7, 1962, the United States instated a full economic embargo on Cuba, a ban that has continued to this day.
On February 7, 1962, the United States imposed an embargo against Cuba.
Economic sanctions and the United States trade embargo were imposed on Cuba in 1962.
In 1962, the United States extended sanctions on Cuba to a near-total commercial, economic, and financial embargo.
In February 1962, the United States participated in an embargo against Cuba."," On February 7, 1962, the United States instated a full economic embargo on Cuba, a policy that has continued for decades . The United States extended sanctions on Cuba to a near-total commercial, economic, and financial embargo in 1962 .","The United States started a financial embargo against Cuba in February 1962. On February 7, 1962, the United States imposed a full economic embargo on Cuba, a policy that continued for decades. The United States extended sanctions on Cuba to a near-total commercial, economic, and financial embargo."
1795,8,"Khrushchev sent letters to Kennedy claiming that the Soviets were only interested in peace and preventing any U.S. invasion of their Cuban ally.
Khrushchev sent letters to Kennedy on October 23 and 24. in these he claimed the deterrent nature of the missiles in Cuba and the Soviet Union had peaceful intentions.
Khrushchev sent letters to Kennedy on October 23 and 24 indicating the deterrent nature of the missiles in Cuba and the peaceful intentions of the Soviet Union.
On October 23 and 24, Khrushchev sent letters explaining why the missiles were placed in Cuba, which was with peaceful intentions.
Khrushchev sent letters to Kennedy on October 23 and 24 claiming the deterrent nature of the missiles in Cuba and the peaceful intentions of the Soviet Union.
The Soviet through Khrushchev dispatched letters to Kennedy administration explaining the circumstances of Missiles in Cuba and peaceful intention of Soviet Union.
Khrushchev sent letters to Kennedy on October 23 and 24 claiming the deterrent nature of the missiles in Cuba and the peaceful intentions of the Soviet Union; however, the Soviets had delivered two different deals to the American government.
Khrushchev sends letters to Kennedy claiming the deterrent nature of the missiles in Cuba and the peaceful intentions of the Soviet Union.
Khrushchev sent letters to Kennedy claiming the deterrent nature of the missiles in Cuba and the peaceful intentions of the Soviet Union.
Khrushchev sent letters to Kennedy on October 23 and 24. in these he claimed the deterrent nature of the missiles in Cuba and the Soviet Union had peaceful intentions. in the letters he claimed that the missiles were a deterrent.", Khrushchev sent letters to Kennedy on October 23 and 24 claiming the . deterrent nature of the missiles in Cuba and the peaceful intentions of the Soviet Union . in these he claimed that the . Soviets were only interested in peace and preventing any U.S. invasion of their Cuban ally .,"Khrushchev sent letters to Kennedy on October 23 and 24 claiming the deterrent nature of the missiles in Cuba and the peaceful intentions of the Soviet Union. In the letters, Khrushchev claimed that the Soviets were only interested in preventing any U.S. invasion of Cuba."
1831,8,"For years, France fought Ho Chi Minh’s Vietminh for control of Vietnam without success.
For years, France fought Ho Chi Minh’s Vietminh for control of Vietnam.
Throughout the 1940s and into the 1950s, the Vietminh under Ho Chi Minh were fighting the French colonial presence in Vietnam.
COLONIAL VIETNAM In 1941 Ho Chi Minh, a Vietnamese nationalist and communist, created the Viet Minh to fight Japanese occupation.
In 1941, in a remote area on the border with southern China, Ho Chi Minh and his communist colleagues founded the Viet Minh Doc Lap Dong Minh (League for the Independence of Vietnam), shortened to Viet Minh.
Flo Chi Minh and his colleagues found the Viet Minh movement to fight against the French colonialists and the Japanese occupation of Vietnam.
Ho Chi Minh and his communist colleagues founded the Viet Minh Doc Lap Dong Minh (League for the Independence of Vietnam) in 1941.
Ho Chi Minh led the Vietnamese struggle for independence from French colonial rule in the First Indochina War.
The French army was at war with Ho Chi Minh and his “Vietminh” government.
Ho Chi Minh created the Viet Minh in 1941 to fight Japanese occupation.
Ho Chi Minh led Viet Minh insurgents in the struggle to end French rule in Vietnam.
Ho Chi Minh set up the Vietnam Doc Lap Dong Minh Hoi (League for the Independence of Vietnam) in the wake of the Japanese occupation of Indochina.
Vietnamese nationalists and Communists formed the Viet Minh resistance movement under Ho Chi Minh in order to fight the occupation."," Ho Chi Minh created the Viet Minh in 1941 to fight Japanese occupation of Vietnam . The French army was at war with the Vietminh and his ‘Vietminh’ government . For years, France fought the Vietnamese struggle for independence from French colonial rule in Vietnam .",In 1941 Ho Chi Minh and his communist colleagues founded the Viet Minh Doc Lap Dong Minh (League for the Independence of Vietnam) The Vietminh were fighting the French colonial presence in Vietnam in the 1940s and 1950s. The French army was at war with Ho Chi MINH and his ‘Vietminh’ government.
1915,8,"Just after John F Kennedy took the office of President of the United States, he met with the leader of the Soviet Union, Premier Nikita Khrushchev.
Diplomatic Negotiations Soviet Premier Nikita Khrushchev meeting with the United States President John F Kennedy.
Our president at the time was John F Kennedy and the Soviet leader was Nikita Khrushchev.
The world was in the hands of President John F Kennedy and Premier Nikita Khruchchev.
The world was in the hands of President John F Kennedy and Premier Nikita Khrushchev.
The key players were President John F Kennedy and the Soviet Premier Khrushchev.
John F Kennedy met with the leader of the Soviet Union, Premier Nikita Khrushchev.
President John F Kennedy meets Soviet Premier Nikita Khrushchev in “The Cold War” — 1998 television documen.
President John F Kennedy and the Soviet Premier Khrushchev were key players in the Kennedy-Krushchev era.
Soviet Premier Nikita Khrushchev and American President John F Kennedy.
Soviet Premier Nikita Khrushchev met with the United States President John F Kennedy in 1960s and '60s."," Just after John F Kennedy took the office of President of the United States, he met with the leader of the Soviet Union, Premier Nikita Khrushchev . The key players in the Kennedy-Krushchev era were President John F. Kennedy and the Soviet Premier .","John F Kennedy met with the leader of the Soviet Union, Premier Nikita Khrushchev. The world was in the hands of President John F Kennedy and PremierNikita Khruchchev. Kennedy and the Soviet leader were key players in the Kennedy-Krushchev era."
1969,8,"Soviet missiles were only powerful enough to be launched against Europe but United States missiles were capable of striking the entire Soviet Union.
Khrushchev also knew that Soviet missiles were only powerful enough to be launched against Europe but United States missiles were capable of striking the entire Soviet Union.
United States missiles were capable of striking the entire Soviet Union.
The farthest that Soviet missiles could reach was Europe, but United States missiles could reach Soviet territory.
Soviet missiles could reach Europe, but American missiles located in Turkey could strike almost anywhere in the Soviet Union.
The Soviet Union had limited range missiles that were only capable of being launched against Europe, but the United States possessed missiles that were capable of striking anywhere within the entire Soviet Union.
Soviet missiles were only powerful enough to be launched against Europe; but United States missiles were capable of striking anywhere in the Soviet Union.
Missiles from the United States could strike the Soviet, but Soviet's missiles could only strike Europe.
U.S. missiles could reach Soviet cities from Turkey, Italy and West Germany.
But U.S. missiles were capable of striking anywhere in the Soviet Union.
Missiles from the U.S. could strike the Soviet, but Soviet's missiles could only strike Europe.
But the United States possessed missiles capable of striking anywhere within the entire Soviet Union.
Soviet missiles could reach Europe, but American missiles could hit almost anywhere."," Soviet missiles were only powerful enough to be launched against Europe, but United States missiles were capable of striking anywhere within the entire Soviet Union . The United States possessed missiles that could hit almost anywhere in the Soviet Union, but Soviet missiles could only hit Europe . U.S. missiles could reach Soviet cities from Turkey, Italy and West Germany .","Khrushchev also knew that Soviet missiles were only powerful enough to be launched against Europe but United States missiles were capable of striking the entire Soviet Union. Soviet missiles could reach Europe, but American missiles located in Turkey could strike almost anywhere."
2091,8,"An organization that consists of United States’ allies, the North Atlantic Treaty Organization , was established in 1949.
This organization was created shortly after the agreement of the North Atlantic Treaty on April 4, 1949.
NATO and the Warsaw Pact In 1949, the Western powers formed the North Atlantic Treaty Organization as a military alliance to counter Soviet aggression.
North Atlantic Treaty Organization A U.S.-led military alliance, formed in 1949 with mainly West European members, to oppose and deter Soviet power in Europe.
NATO The North Atlantic Treaty Organization ; is a military alliance established by the signing of the North Atlantic Treaty on 4 April 1949.
North Atlantic Treaty Organization A United States -led military alliance, formed in 1949 with mainly West European members, to oppose and deter Soviet power in Europe.
NATO North Atlantic Treaty Organization, an international military alliance of Western powers established in 1949.
The organization was formed to implement the North Atlantic treaty in 1949.
In 1949 the USA played a key role in the formation of the North Atlantic Treaty Organization."," An organization that consists of United States’ allies, the North Atlantic Treaty Organization, was established in 1949 . This organization was created shortly after the agreement of the North . Atlantic Treaty on April 4, 1949 . The Western powers formed the . North Atlantic . Treaty Organization as a military alliance to counter Soviet aggression .",The North Atlantic Treaty Organization is a military alliance of Western powers established in 1949. The organization was formed to implement the North Atlantic treaty. In 1949 the USA played a key role in the formation of the NorthAtlantic Treaty Organization. The alliance was created to oppose and deter Soviet power in Europe. The U.S.-led military alliance has mainly West European members.
